book,chapter,verse,cl_id,word_id,clause_text,word_text,lexeme,g_cons,number,state
Esther,9,26,505982,369826,עַל־כֵּ֕ן עַל־כָּל־דִּבְרֵ֖י הָאִגֶּ֣רֶת הַזֹּ֑את ,אִגֶּ֣רֶת ,>GRT/,>GRT,sg,a
Esther,9,29,505995,369933,לְקַיֵּ֗ם אֵ֣ת אִגֶּ֧רֶת הַפּוּרִ֛ים הַזֹּ֖את הַשֵּׁנִֽית׃ ,אִגֶּ֧רֶת ,>GRT/,>GRT,sg,c
Nehemiah,2,7,508655,383876,אִגְּרֹות֙ יִתְּנוּ־לִ֔י עַֽל־פַּחֲוֹ֖ות עֵ֣בֶר הַנָּהָ֑ר ,אִגְּרֹות֙ ,>GRT/,>GRWT,pl,a
Nehemiah,2,8,508658,383892,וְאִגֶּ֡רֶת אֶל־אָסָף֩ שֹׁמֵ֨ר הַפַּרְדֵּ֜ס ,אִגֶּ֡רֶת ,>GRT/,>GRT,sg,a
Nehemiah,2,9,508669,383950,וָאֶתְּנָ֣ה לָהֶ֔ם אֵ֖ת אִגְּרֹ֣ות הַמֶּ֑לֶךְ ,אִגְּרֹ֣ות ,>GRT/,>GRWT,pl,c
Nehemiah,6,5,509020,386021,וְאִגֶּ֥רֶת פְּתוּחָ֖ה בְּיָדֹֽו׃ ,אִגֶּ֥רֶת ,>GRT/,>GRT,sg,c
Nehemiah,6,17,509086,386297,גַּ֣ם׀ בַּיָּמִ֣ים הָהֵ֗ם מַרְבִּ֞ים חֹרֵ֤י יְהוּדָה֙ אִגְּרֹ֣תֵיהֶ֔ם ,אִגְּרֹ֣תֵיהֶ֔ם ,>GRT/,>GRTJHM,pl,a
Nehemiah,6,19,509095,386341,אִגְּרֹ֛ות שָׁלַ֥ח טֹובִיָּ֖ה ,אִגְּרֹ֛ות ,>GRT/,>GRWT,pl,a
2_Chronicles,30,1,514946,421839,וְגַֽם־אִגְּרֹות֙ כָּתַב֙ עַל־אֶפְרַ֣יִם וּמְנַשֶּׁ֔ה ,אִגְּרֹות֙ ,>GRT/,>GRWT,pl,a
2_Chronicles,30,6,514961,421959,וַיֵּלְכוּ֩ הָרָצִ֨ים בָּֽאִגְּרֹ֜ות מִיַּ֧ד הַמֶּ֣לֶךְ וְשָׂרָ֗יו בְּכָל־יִשְׂרָאֵל֙ וִֽיהוּדָ֔ה ,אִגְּרֹ֜ות ,>GRT/,>GRWT,pl,a
